hardware,depth_ratio,cx_ratio,init,circuit
sycamore,5.666666666666667,6.688118811881188,identity,53Q_gate_Sycamore_small_1_5_1.5_no.5
sycamore,7.113636363636363,6.286486486486487,random,53Q_gate_Sycamore_large_2_3_1.5_no.0
rochester,2.5090909090909093,5.4391891891891895,sa,53Q_gate_Rochester_small_1_5_1.5_no.6
sycamore,5.627906976744186,5.398876404494382,sa,53Q_gate_Sycamore_small_2_3_1.5_no.0
sycamore,4.03125,5.45945945945946,sa,53Q_gate_Sycamore_small_1_1_1.5_no.4
rochester,5.7164179104477615,4.828828828828829,sabre,53Q_gate_Rochester_small_1_15_1.5_no.5
rochester,5.733812949640288,6.584795321637427,sa,53Q_depth_Rochester_large_None_10_2.55_no.1
rochester,4.645833333333333,11.261904761904763,random,53Q_gate_Rochester_small_1_2_1.5_no.7
sycamore,4.098591549295775,4.077170418006431,sabre,53Q_gate_Sycamore_small_2_15_1.5_no.2
rochester,3.6043165467625897,5.3310344827586205,sabre,53Q_gate_Rochester_large_2_25_1.5_no.9
sycamore,4.5,4.366906474820144,sa,53Q_gate_Sycamore_large_2_15_1.5_no.2
rochester,6.489051094890511,7.094637223974764,random,53Q_gate_Rochester_large_1_25_1.5_no.3
sycamore,6.025,5.304577464788732,random,53Q_gate_Sycamore_large_2_25_1.5_no.3
tokyo,1.7804878048780488,2.125,sabre,20Q_gate_Tokyo_large_1_1_1.5_no.2
tokyo,2.0526315789473686,2.327433628318584,sabre,20Q_gate_Tokyo_large_2_3_1.5_no.6
tokyo,1.4736842105263157,3.066666666666667,random,20Q_gate_Tokyo_large_1_0_1.5_no.3
tokyo,1.4583333333333333,1.6971830985915493,sabre,20Q_gate_Tokyo_large_1_15_1.5_no.5
rochester,5.63,11.928571428571429,random,53Q_depth_Rochester_small_None_3_2.55_no.9
sycamore,2.550724637681159,8.147058823529411,random,53Q_gate_Sycamore_small_2_1_1.5_no.8
tokyo,1.9696969696969697,2.1029411764705883,sabre,20Q_gate_Tokyo_large_2_1_1.5_no.3
tokyo,1.7710843373493976,2.5,sabre,20Q_gate_Tokyo_large_1_3_1.5_no.7
rochester,2.090909090909091,5.9411764705882355,sabre,53Q_gate_Rochester_small_1_1_1.5_no.8
rochester,6.823008849557522,8.576687116564417,identity,53Q_depth_Rochester_large_None_10_1.5_no.3
tokyo,1.6346153846153846,2.1379310344827585,sa,20Q_gate_Tokyo_large_2_15_1.5_no.9
sycamore,5.157407407407407,6.2359249329758715,random,53Q_depth_Sycamore_small_None_4_1.5_no.9
sycamore,3.814569536423841,5.256658595641646,sa,53Q_depth_Sycamore_small_None_5_1.5_no.3
sycamore,1.8969072164948453,5.555555555555555,sa,53Q_gate_Sycamore_small_1_2_1.5_no.5
sycamore,1.675,5.931034482758621,sa,53Q_gate_Sycamore_small_2_0_1.5_no.1
rochester,5.412698412698413,5.889273356401384,sabre,53Q_depth_Rochester_large_None_5_1.5_no.0
sycamore,5.388888888888889,7.641025641025641,identity,53Q_gate_Sycamore_large_2_1_1.5_no.6
rochester,8.420168067226891,9.05524861878453,identity,53Q_depth_Rochester_small_None_10_1.5_no.8
sycamore,1.7241379310344827,5.428571428571429,sa,53Q_gate_Sycamore_small_2_2_1.5_no.4
sycamore,3.861111111111111,6.134020618556701,sa,53Q_gate_Sycamore_small_1_0_1.5_no.0
tokyo,2.1914893617021276,3.6666666666666665,random,20Q_gate_Tokyo_large_2_0_1.5_no.9
sycamore,2.436893203883495,3.7540983606557377,sabre,53Q_depth_Sycamore_large_None_2_1.5_no.0
tokyo,1.4285714285714286,3.0,sabre,20Q_gate_Tokyo_large_1_0_1.5_no.6
tokyo,2.08,2.3684210526315788,sabre,20Q_gate_Tokyo_large_2_2_1.5_no.2
rochester,5.828947368421052,7.5,sabre,53Q_depth_Rochester_large_None_4_2.55_no.5
rochester,9.067961165048544,7.3375,random,53Q_gate_Rochester_large_1_20_1.5_no.5
tokyo,2.3233082706766917,3.1367924528301887,random,20Q_depth_Tokyo_large_None_4_1.5_no.8
rochester,5.533333333333333,9.12962962962963,identity,53Q_depth_Rochester_large_None_2_1.5_no.1
sycamore,3.561224489795918,5.862068965517241,random,53Q_depth_Sycamore_large_None_10_2.55_no.8
tokyo,2.2142857142857144,2.5625,sabre,20Q_gate_Tokyo_large_2_0_1.5_no.7
tokyo,3.0,2.5,sabre,20Q_gate_Tokyo_large_1_2_1.5_no.3
rochester,4.826771653543307,9.439446366782008,random,53Q_depth_Rochester_small_None_5_2.55_no.9
sycamore,6.148936170212766,6.668508287292818,identity,53Q_gate_Sycamore_large_2_5_1.5_no.9
rochester,4.394736842105263,7.5476190476190474,sa,53Q_gate_Rochester_large_1_3_1.5_no.4
sycamore,2.8525641025641026,5.845188284518828,sa,53Q_depth_Sycamore_small_None_2_2.55_no.9
tokyo,2.0161290322580645,2.5544554455445545,sabre,20Q_gate_Tokyo_large_2_20_1.5_no.9
sycamore,2.623529411764706,4.764150943396227,sa,53Q_gate_Sycamore_small_1_20_1.5_no.2
tokyo,1.8039772727272727,2.2183406113537116,sa,20Q_depth_Tokyo_large_None_10_2.55_no.0
rochester,2.477272727272727,7.7384615384615385,sa,53Q_gate_Rochester_small_2_1_1.5_no.4
